shortid,_id,publication_doi,publication_title,publication_year,publication_journal,mapped_pmcid,mapped_pmid,mapped_europepmc_id,DOI_Link,Remediation_Status,Remediation_Notes,Manual_PMCID,Manual_PMID
vqpw9fqmuu,6613fe1f1502715bfe53d929,10.1093/bioinformatics/btp503,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,2009,Bioinformatics,,,,https://doi.org/10.1093/bioinformatics/btp503,NEEDS_REVIEW,,,
9hqbg4dzys,63516fedb9c880af1f305b3d,10.3168/jds.2012-5630,The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.,2013,J Dairy Sci,,,,https://doi.org/10.3168/jds.2012-5630,NEEDS_REVIEW,,,
mg14nkwvpa,6803a35cea60466a7ca5a83f,doi: 10.1093/bioinformatics/btu744,DISOPRED3: precise disordered region predictions with annotated protein-binding activity,2014,Bioinformatics,,,,https://doi.org/doi: 10.1093/bioinformatics/btu744,NEEDS_REVIEW,,,
jqi03r1d0i,67d02e3e478cfd7e6983b11a,10.1038/nbt.3300,Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning,2015,Nature Biotechnology,,,,https://doi.org/10.1038/nbt.3300,NEEDS_REVIEW,,,
0mlbkqclbr,63516fedb9c880af1f305b9c,10.1002/ijc.29172,A three-gene panel that distinguishes benign from malignant thyroid nodules.,2015,Int J Cancer,,,,https://doi.org/10.1002/ijc.29172,NEEDS_REVIEW,,,
u5wbqo3nr4,67f5537a822ee03b50b6c3e7,doi: 10.1093/bioinformatics/btw280,DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences,2016,Bioinformatics,,,,https://doi.org/doi: 10.1093/bioinformatics/btw280,NEEDS_REVIEW,,,
cvu6djmvfq,67d04f4c478cfd7e6983b167,10.1001/jama.2016.17216,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,2016,Journal of the American Medical Association,,,,https://doi.org/10.1001/jama.2016.17216,NEEDS_REVIEW,,,
o94lxlja8t,63516fedb9c880af1f305b7d,10.1002/minf.201500108,A Random Forest Model for Predicting Allosteric and Functional Sites on Proteins.,2016,Mol Inform,,,,https://doi.org/10.1002/minf.201500108,NEEDS_REVIEW,,,
wd9oesbckf,63516fedb9c880af1f305b7c,10.1177/1087057115623451,High-Content Analysis of Breast Cancer Using Single-Cell Deep Transfer Learning.,2016,J Biomol Screen,,,,https://doi.org/10.1177/1087057115623451,NEEDS_REVIEW,,,
otyepo566r,66735a8837ea6fa797a6c341,10.4258/hir.2017.23.4.271 ,Machine Learning to Improve the Effectiveness of ANRS in Predicting HIV Drug Resistance,2017,Healthcare Informatics Research ,,,,https://doi.org/10.4258/hir.2017.23.4.271 ,NEEDS_REVIEW,,,
lrlwou3dt7,63516fedb9c880af1f305b3e,10.1094/PHYTO-04-17-0162-R,Predicting Ascospore Release of Monilinia vaccinii-corymbosi of Blueberry with Machine Learning.,2017,Phytopathology,,,,https://doi.org/10.1094/PHYTO-04-17-0162-R,NEEDS_REVIEW,,,
ie0f3buyr4,63516fedb9c880af1f305b39,10.1080/07391102.2016.1163294,OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.,2017,J Biomol Struct Dyn,,,,https://doi.org/10.1080/07391102.2016.1163294,NEEDS_REVIEW,,,
ek1c4fvz6e,63516fedb9c880af1f305bab,10.1093/jac/dky514,Supervised machine learning for the prediction of infection on admission to hospital: a prospective observational cohort study.,2019,J Antimicrob Chemother,,,,https://doi.org/10.1093/jac/dky514,NEEDS_REVIEW,,,
dnrghw65xy,63516fedb9c880af1f305b6b,10.2217/epi-2019-0206,EpiSmokEr: a robust classifier to determine smoking status from DNA methylation data.,2019,Epigenomics,,,,https://doi.org/10.2217/epi-2019-0206,NEEDS_REVIEW,,,
iugmhjifoe,63516fedb9c880af1f305b4d,10.1016/j.gene.2019.01.014,Identifying mutation positions in all segments of influenza genome enables better differentiation between pandemic and seasonal strains.,2019,Gene,,,,https://doi.org/10.1016/j.gene.2019.01.014,NEEDS_REVIEW,,,
rggiypqqgz,63516fedb9c880af1f305b1e,10.3934/mbe.2019123,Identification of hormone binding proteins based on machine learning methods.,2019,Math Biosci Eng,,,,https://doi.org/10.3934/mbe.2019123,NEEDS_REVIEW,,,
lk0hxbd7im,67f53833822ee03b50b6c3ce,doi: 10.1093/bioinformatics/btaa808,APOD: accurate sequence-based predictor of disordered flexible linkers,2020,Bioinformatics,,,,https://doi.org/doi: 10.1093/bioinformatics/btaa808,NEEDS_REVIEW,,,
l9ylxpirie,63516fedb9c880af1f305b29,10.1016/j.foodchem.2020.126864,Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.,2020,Food Chem,,,,https://doi.org/10.1016/j.foodchem.2020.126864,NEEDS_REVIEW,,,
fozqqtqf2d,63516fedb9c880af1f305b1b,10.1016/j.foodchem.2020.126864,Novel scaffold of natural compound eliciting sweet taste revealed by machine learning.,2020,Food Chem,,,,https://doi.org/10.1016/j.foodchem.2020.126864,NEEDS_REVIEW,,,
apf7wp9txp,67f6a78d822ee03b50b6c47c,doi: 10.1093/bib/bbab521,"DeepDISOBind: accurate prediction of RNA-, DNA- and protein-binding intrinsically disordered residues with deep multi-task learning",2021,Briefings in Bioinformatics,,,,https://doi.org/doi: 10.1093/bib/bbab521,NEEDS_REVIEW,,,
lmmde595pw,63516fedb9c880af1f305b58,10.1109/JBHI.2020.3027680,Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.,2021,IEEE J Biomed Health Inform,,,,https://doi.org/10.1109/JBHI.2020.3027680,NEEDS_REVIEW,,,
dmb4u51v5o,63516fedb9c880af1f305b35,10.1038/s41593-020-00733-0,Modeling behaviorally relevant neural dynamics enabled by preferential subspace identification.,2021,Nat Neurosci,,,,https://doi.org/10.1038/s41593-020-00733-0,NEEDS_REVIEW,,,
joud1a8rk2,67f55ee6822ee03b50b6c3eb,doi: 10.1093/bib/bbac502,CLIP: accurate prediction of disordered linear interacting peptides from protein sequences using co-evolutionary information,2022,Briefings in Bioinformatics,,,,https://doi.org/doi: 10.1093/bib/bbac502,NEEDS_REVIEW,,,
skg7vifrfy,6634f526ded6e7820f74a1b8,https://doi.org/10.48550/arXiv.2202.05146,EQUIBIND: Geometric Deep Learning for Drug Binding Structure Prediction,2022,arXiv,,,,https://doi.org/10.48550/arXiv.2202.05146,NEEDS_REVIEW,,,
gd9a2ccysk,67c5b98a1f0965481b0c75bb,10.1093/bib/bbad173,Fast and accurate protein intrinsic disorder prediction by using a pretrained language model,2023,Briefings in Bioinformatics,,,,https://doi.org/10.1093/bib/bbad173,NEEDS_REVIEW,,,
ngjci1cyqx,645aa34160bf612a3caabc1b,https://doi.org/10.1101/2021.07.17.452800,Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.,2023,GigaScience,,,,https://doi.org/10.1101/2021.07.17.452800,NEEDS_REVIEW,,,
lgfn7xigc7,682dd55bec6931461ae8b33f,10.1016/j.compbiomed.2024.108073,"GIT-Mol: A multi-modal large language model for molecular science with graph, image, and text",2024,Computers in Biology and Medicine,,,,https://doi.org/10.1016/j.compbiomed.2024.108073,NEEDS_REVIEW,,,
1cvlnr4o3g,67f63fc4822ee03b50b6c442,doi: 10.1016/j.jmb.2024.168605,flDPnn2: Accurate and Fast Predictor of Intrinsic Disorder in Proteins,2024,Journal of Molecular Biology,,,,https://doi.org/doi: 10.1016/j.jmb.2024.168605,NEEDS_REVIEW,,,
4njliz31og,67e58011720e239b4827fba9,https://doi.org/10.1016/j.amc.2024.128630,DisPredict3.0: Prediction of intrinsically disordered regions proteins using protein language model,2024,Applied Mathematics and Computation,,,,https://doi.org/10.1016/j.amc.2024.128630,NEEDS_REVIEW,,,
cftpt5nnni,67cf64de1f0965481b0c7b57,https://doi.org/10.1101/2024.11.05.622168,Metapredict enables accurate disorder prediction across the Tree of Life,2024,bioRxiv (Pre-print),,,,https://doi.org/10.1101/2024.11.05.622168,NEEDS_REVIEW,,,
jwdcelhyd3,67c42e8f1f0965481b0c743b,10.21203/rs.3.rs-5414158/v1,DARUMA: Your gateway to fast and easy prediction of intrinsically disordered regions,2024,BMC Bioinformatics,,,,https://doi.org/10.21203/rs.3.rs-5414158/v1,NEEDS_REVIEW,,,
goldx6bwjb,67c33bfa1f0965481b0c738e,doi.org/10.1093/nar/gkae385,AIUPred: combining energy estimation with deep learning for the enhanced prediction of protein disorder,2024,Nucleic Acids Research,,,,https://doi.org/doi.org/10.1093/nar/gkae385,NEEDS_REVIEW,,,
88n4lxv68p,65d7e78d1502715bfe53c582,10.1101/2024.02.12.579993,Discovering genotype-phenotype relationships with machine learning and the Visual Physiology Opsin Database (VPOD),2024,GigaScience,,,,https://doi.org/10.1101/2024.02.12.579993,NEEDS_REVIEW,,,
