index	doi	title	optimization/regularization	reason
140	10.1128/msystems.00058-19	Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.	Not specified	No unique match found in priority fields
170	10.1371/journal.pcbi.1004067	Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.	Not specified	No unique match found in priority fields
172	10.3892/ol.2020.11381	Gene expression profiling identified TP53<sup>Mut</sup>PIK3CA<sup>Wild</sup> as a potential biomarker for patients with triple-negative breast cancer treated with immune checkpoint inhibitors.	Not specified	No unique match found in priority fields
174	10.1186/1755-8794-8-s1-s7	Performance of case-control rare copy number variation annotation in classification of autism.	Not specified.	No unique match found in priority fields
177	10.1371/journal.pcbi.1005158	Machine Learning for Characterization of Insect Vector Feeding.	No	No unique match found in priority fields
180	10.3389/fgene.2020.566159	Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.	Not stated.	No unique match found in priority fields
187	10.1155/2015/141363	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	No	No unique match found in priority fields
194	10.1155/2018/3635845	An Extreme Learning Machine Based on Artificial Immune System.	No	No unique match found in priority fields
196	10.1109/tcbb.2016.2586042	Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.	1) No 2) No	No unique match found in priority fields
209	10.1371/journal.pone.0204371	LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.	No.	No unique match found in priority fields
212	10.1371/journal.pone.0206634	Predicting bacterial growth conditions from mRNA and protein abundances.	No	No unique match found in priority fields
213	10.1038/s41467-021-22869-8	CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.	Not mentioned	No unique match found in priority fields
214	10.1371/journal.pone.0128570	A Ranking Approach to Genomic Selection.	Small learning rate adopted	No unique match found in priority fields
216	10.3390/diagnostics11091582	Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.	No	No unique match found in priority fields
217	10.1080/07391102.2016.1163294	OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.	no.	No unique match found in priority fields
219	10.1371/journal.pcbi.1006931	Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.	Not stated	No unique match found in priority fields
220	10.1124/jpet.116.232660	Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.	No.	No unique match found in priority fields
227	10.1038/s41467-021-23472-7	A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.		No unique match found in priority fields
229	10.1109/jbhi.2020.3023246	Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.	no	No unique match found in priority fields
230	10.1016/j.ymeth.2019.03.004	Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	no	No unique match found in priority fields
235	10.1109/jbhi.2020.3027680	Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.	No	No unique match found in priority fields
236	10.1002/prot.25798	Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.	No.	No unique match found in priority fields
239	10.1371/journal.pone.0164649	Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.		No unique match found in priority fields
240	10.1016/j.neurobiolaging.2018.10.016	Brain age from the electroencephalogram of sleep.		No unique match found in priority fields
246	10.1016/j.ebiom.2021.103546	Nasopharyngeal metabolomics and machine learning approach for the diagnosis of influenza.	The models were not retrained using SRM data to avoid overfitting and overestimating test performance. In addition, within the training set, cross-validation was used to develop the models to avoid overfitting to the training set.	No unique match found in priority fields
